"CustomerID","MeanValue","LastTransaction","NoTransaction","MonetoryPercentile","FrequencyPercentile","RecencyPercentile","MonetoryScore","FrequencyScore","RecencyScore","MonetoryWeightedScore","FrequencyWeightedScore","RecencyWeightedScore","FinalScore","FinalWeightedScore","FinalCustomerClass","final_type"
"1253",4.39,2002-05-21,1,0.110807113543092,0,0.176812585499316,1,1,1,5,5,5,15,1,"Class-1","Casino"
"1254",102.6165,2004-07-11,20,0.709131326949398,0.919972640218878,0.718023255813953,4,5,4,20,25,20,65,4.33333333333333,"Class-4","Casino"
"1255",70.7866666666667,2004-09-20,18,0.599521203830363,0.909712722298222,0.812585499316005,3,5,5,15,25,25,65,4.33333333333333,"Class-4","Casino"
"1256",504.0652,2004-11-17,10,0.94237346101237,0.815492476060192,0.889705882352941,5,5,5,25,25,25,75,5,"Class-5","Casino"
"1257",64.642,2002-10-17,2,0.572845417236651,0.352941176470588,0.41501367989056,3,2,3,15,10,15,40,2.66666666666667,"Class-2","Hotel & Casino"
"1259",51.24,2002-03-04,3,0.49692202462378,0.497435020519836,0.0682284541723666,3,3,1,15,15,5,35,2.33333333333333,"Class-2","Casino"
"126",41.826,2003-07-28,5,0.440321477428164,0.642612859097127,0.542920656634746,3,4,3,15,20,15,50,3.33333333333333,"Class-3","Casino"
"1260",166.458333333333,2003-02-07,6,0.815150478796203,0.689466484268126,0.496751025991791,5,4,3,25,20,15,60,4,"Class-4","Casino"
"1261",130.33,2002-04-19,1,0.766757865937097,0,0.134404924760602,4,1,1,20,5,5,30,2,"Class-2","Casino"
"1262",31.575,2004-03-04,6,0.368502051983576,0.689466484268126,0.635943912448699,2,4,4,10,20,20,50,3.33333333333333,"Class-3","Casino"
"1263",129.71,2002-08-14,1,0.766073871409053,0,0.315663474692202,4,1,2,20,5,10,35,2.33333333333333,"Class-2","Hotel"
"1264",43.5034666666667,2003-06-17,3,0.448358413132678,0.497435020519836,0.526675786593706,3,3,3,15,15,15,45,3,"Class-3","Hotel"
"1265",123.63,2004-09-14,6,0.75512995896035,0.689466484268126,0.783173734610122,4,4,4,20,20,20,60,4,"Class-4","Casino"
"1266",27.8725636363636,2004-12-28,11,0.333789329685358,0.834131326949385,0.972469220246237,2,5,5,10,25,25,60,4,"Class-4","Hotel & Casino"
"1268",38.6444444444444,2004-10-27,9,0.417065663474678,0.790697674418605,0.858242134062927,3,4,5,15,20,25,60,4,"Class-4","Casino"
"1269",1.97142857142857,2004-11-05,7,0.0781463748290013,0.732045143638851,0.869870041039671,1,4,5,5,20,25,50,3.33333333333333,"Class-3","Casino"
"127",-50.7222222222222,2004-08-10,27,0.0224008207934336,0.947845417236662,0.74469904240766,1,5,4,5,25,20,50,3.33333333333333,"Class-3","Casino"
"1270",49.927,2004-10-09,10,0.491792065663452,0.815492476060192,0.834644322845417,3,5,5,15,25,25,65,4.33333333333333,"Class-4","Casino"
"1271",320.888333333333,2003-10-12,6,0.906292749658054,0.689466484268126,0.570622435020519,5,4,3,25,20,15,60,4,"Class-4","Casino"
"1272",29.7676842105263,2004-10-29,19,0.35259917920656,0.915013679890561,0.861662106703146,2,5,5,10,25,25,60,4,"Class-4","Hotel & Casino"
"1274",49.485,2002-08-09,2,0.489227086183289,0.352941176470588,0.305061559507524,3,2,2,15,10,10,35,2.33333333333333,"Class-2","Casino"
"1275",105.611666666667,2004-07-09,6,0.715287277701793,0.689466484268126,0.716484268125854,4,4,4,20,20,20,60,4,"Class-4","Casino"
"1276",110.610769230769,2004-11-25,13,0.724692202462396,0.86234610123119,0.905266757865937,4,5,5,20,25,25,70,4.66666666666667,"Class-4","Casino"
"1277",49.77,2004-09-14,3,0.490424076607365,0.497435020519836,0.783173734610122,3,3,4,15,15,20,50,3.33333333333333,"Class-3","Casino"
"1278",7.59888888888889,2003-12-13,9,0.14825581395349,0.790697674418605,0.595759233926128,1,4,3,5,20,15,40,2.66666666666667,"Class-2","Casino"
"1279",60.0683333333333,2003-09-20,6,0.54976060191517,0.689466484268126,0.562585499316005,3,4,3,15,20,15,50,3.33333333333333,"Class-3","Casino"
"128",840.173333333333,2004-07-26,21,0.964261285909775,0.926470588235294,0.730335157318741,5,5,4,25,25,20,70,4.66666666666667,"Class-4","Casino"
"1280",5.585,2002-07-11,2,0.124487004103968,0.352941176470588,0.255813953488372,1,2,2,5,10,10,25,1.66666666666667,"Class-1","Casino"
"1281",177.425066666667,2003-12-24,3,0.82506839945284,0.497435020519836,0.600034199726401,5,3,4,25,15,20,60,4,"Class-4","Hotel & Casino"
"1283",0.24,2002-08-01,1,0.054035567715458,0,0.290355677154583,1,1,2,5,5,10,20,1.33333333333333,"Class-1","Casino"
"1284",17.62,2002-08-04,1,0.247264021887829,0,0.296511627906976,2,1,2,10,5,10,25,1.66666666666667,"Class-1","Casino"
"1285",49.568,2004-07-20,5,0.4893980848153,0.642612859097127,0.724350205198357,3,4,4,15,20,20,55,3.66666666666667,"Class-3","Casino"
"1286",14.955,2004-08-23,14,0.214090287277705,0.875341997264022,0.757181942544459,2,5,4,10,25,20,55,3.66666666666667,"Class-3","Casino"
"1287",87.144,2002-02-10,1,0.663645690834478,0,0.0391586867305062,4,1,1,20,5,5,30,2,"Class-2","Hotel"
"1288",86.4759333333333,2005-01-02,15,0.660567715458281,0.885601915184679,0.993331053351573,4,5,5,20,25,25,70,4.66666666666667,"Class-4","Casino"
"1289",28.3354166666667,2004-11-11,24,0.339603283173729,0.938782489740082,0.878932968536251,2,5,5,10,25,25,60,4,"Class-4","Casino"
"129",587.004375,2004-11-30,16,0.950752393980908,0.895861833105335,0.914329685362517,5,5,5,25,25,25,75,5,"Class-5","Casino"
"1290",35.305,2004-09-10,4,0.399623803009564,0.581395348837209,0.778043775649794,2,3,4,10,15,20,45,3,"Class-3","Casino"
"1291",25.795,2003-06-04,6,0.31754445964432,0.689466484268126,0.523939808481531,2,4,3,10,20,15,45,3,"Class-3","Casino"
"1292",86.72,2004-07-27,3,0.661764705882358,0.497435020519836,0.731703146374828,4,3,4,20,15,20,55,3.66666666666667,"Class-3","Casino"
"1293",169.502,2004-06-10,5,0.818741450068434,0.642612859097127,0.693912448700409,5,4,4,25,20,20,65,4.33333333333333,"Class-4","Casino"
"1294",5.09153846153846,2004-12-18,13,0.119015047879618,0.86234610123119,0.950752393980848,1,5,5,5,25,25,55,3.66666666666667,"Class-3","Casino"
"1295",39.4557142857143,2004-06-12,7,0.425615595075225,0.732045143638851,0.695109439124486,3,4,4,15,20,20,55,3.66666666666667,"Class-3","Casino"
"1296",448.146733333333,2004-07-23,6,0.934849521203887,0.689466484268126,0.727941176470587,5,4,4,25,20,20,65,4.33333333333333,"Class-4","Hotel & Casino"
"1298",133.544,2002-03-25,1,0.772058823529437,0,0.0964432284541724,4,1,1,20,5,5,30,2,"Class-2","Hotel"
"1299",92.959,2003-04-20,2,0.683823529411773,0.352941176470588,0.512311901504787,4,2,3,20,10,15,45,3,"Class-3","Hotel"
"13",662.772222222222,2004-01-22,9,0.956224350205259,0.790697674418605,0.613030095759233,5,4,4,25,20,20,65,4.33333333333333,"Class-4","Casino"
"130",94.235,2004-04-19,6,0.687927496580037,0.689466484268126,0.663987688098494,4,4,4,20,20,20,60,4,"Class-4","Casino"
"1300",114.13,2004-08-25,3,0.734439124487022,0.497435020519836,0.75923392612859,4,3,4,20,15,20,55,3.66666666666667,"Class-3","Casino"
