CustomerID,MeanValue,LastTransaction,NoTransaction,Total Earnings,MonetoryPercentile,FrequencyPercentile,RecencyPercentile,MonetoryScore,FrequencyScore,RecencyScore,MonetoryWeightedScore,FrequencyWeightedScore,RecencyWeightedScore,FinalScore,FinalWeightedScore,Class Def,FinalCustomerClass,final_type
1095,26.8516129,10/30/2004,31,832.4,0.327804378,0.958447332,0.86371409,2,5,5,10,25,25,60,4,Regulars and High Values,Class-4,Casino
1096,39.09062083,12/5/2004,48,1876.3498,0.421169631,0.976915185,0.92253762,3,5,5,15,25,25,65,4.333333333,Regulars and High Values,Class-4,Casino
1097,172.0245,12/5/2004,80,13761.96,0.820793434,0.989398085,0.92253762,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1098,484.3589286,12/4/2004,28,13562.05,0.940492476,0.950410397,0.920656635,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1099,102.5875806,12/30/2004,62,6360.43,0.708960328,0.984781122,0.980848153,4,5,5,20,25,25,70,4.666666667,Regulars and High Values,Class-4,Casino
11,101.9173333,7/28/2004,15,1528.76,0.707250342,0.885601915,0.732900137,4,5,4,20,25,20,65,4.333333333,Regulars and High Values,Class-4,Casino
110,93.59928571,4/14/2004,14,1310.39,0.68621751,0.875341997,0.660567715,4,5,4,20,25,20,65,4.333333333,Regulars and High Values,Class-4,Casino
1100,166.7602875,9/19/2004,8,1334.0823,0.816347469,0.763337893,0.81121751,5,4,5,25,20,25,70,4.666666667,Regulars and High Values,Class-4,Casino
1101,291.56,5/16/2004,11,3207.16,0.897400821,0.834131327,0.680745554,5,5,4,25,25,20,70,4.666666667,Regulars and High Values,Class-4,Casino
1102,1099.112,9/15/2004,5,5495.56,0.976573187,0.642612859,0.788474692,5,4,4,25,20,20,65,4.333333333,Regulars and High Values,Class-4,Casino
1103,80.99982857,11/27/2003,7,566.9988,0.641757866,0.732045144,0.58874829,4,4,3,20,20,15,55,3.666666667,Moderate to High,Class-3,Hotel & Casino
1105,4.021428571,11/16/2004,14,56.3,0.106361149,0.875341997,0.887653899,1,5,5,5,25,25,55,3.666666667,Moderate to High,Class-3,Casino
1106,124.1571429,5/28/2004,14,1738.2,0.755984952,0.875341997,0.686559508,4,5,4,20,25,20,65,4.333333333,Regulars and High Values,Class-4,Casino
1107,846.594,7/12/2004,5,4232.97,0.964774282,0.642612859,0.718365253,5,4,4,25,20,20,65,4.333333333,Regulars and High Values,Class-4,Casino
1108,16.48107143,12/9/2004,28,461.47,0.232900137,0.950410397,0.929890561,2,5,5,10,25,25,60,4,Regulars and High Values,Class-4,Casino
1109,150.0439394,12/12/2004,66,9902.9,0.795314637,0.986149111,0.936559508,4,5,5,20,25,25,70,4.666666667,Regulars and High Values,Class-4,Casino
111,678.7962926,12/27/2004,27,18327.4999,0.957079343,0.947845417,0.969733242,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1110,213.51,2/1/2004,5,1067.55,0.856703146,0.642612859,0.617305062,5,4,4,25,20,20,65,4.333333333,Regulars and High Values,Class-4,Casino
1111,453.9292222,12/23/2004,54,24512.178,0.935875513,0.980848153,0.962038304,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1112,79.345,1/24/2004,4,317.38,0.635088919,0.581395349,0.614227086,4,3,4,20,15,20,55,3.666666667,Moderate to High,Class-3,Casino
1113,1250.509787,11/4/2004,38,47519.3719,0.979309166,0.969049248,0.869186047,5,5,5,25,25,25,75,5,All Highs,Class-5,Hotel & Casino
1115,11.8246875,11/28/2004,32,378.39,0.185704514,0.960499316,0.911080711,1,5,5,5,25,25,55,3.666666667,Moderate to High,Class-3,Casino
1116,7.61,11/30/2002,2,15.22,0.148426813,0.352941176,0.468194254,1,2,3,5,10,15,30,2,All but little less freq,Class-2,Casino
1117,-17.88542857,9/13/2004,14,-250.396,0.033857729,0.875341997,0.781976744,1,5,4,5,25,20,50,3.333333333,Moderate to High,Class-3,Casino
1118,-18.39894737,5/15/2004,76,-1398.32,0.033515732,0.988372093,0.68006156,1,5,4,5,25,20,50,3.333333333,Moderate to High,Class-3,Casino
1119,147.3240286,4/8/2004,14,2062.5364,0.792920657,0.875341997,0.656805746,4,5,4,20,25,20,65,4.333333333,Regulars and High Values,Class-4,Hotel & Casino
112,71.42,4/2/2002,3,214.26,0.602599179,0.497435021,0.111149111,4,3,1,20,15,5,40,2.666666667,All but little less freq,Class-2,Casino
1121,26.72315315,12/20/2004,111,2966.27,0.326607387,0.993502052,0.956737346,2,5,5,10,25,25,60,4,Regulars and High Values,Class-4,Casino
1122,65.76571429,10/30/2004,28,1841.44,0.579343365,0.950410397,0.86371409,3,5,5,15,25,25,65,4.333333333,Regulars and High Values,Class-4,Casino
1123,12.02008571,11/14/2004,7,84.1406,0.187414501,0.732045144,0.883549932,1,4,5,5,20,25,50,3.333333333,Moderate to High,Class-3,Casino
1124,171.3533333,12/20/2004,15,2570.3,0.820451436,0.885601915,0.956737346,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1125,503.704,11/29/2004,15,7555.56,0.942202462,0.885601915,0.913303694,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1126,88.76625,3/31/2004,8,710.13,0.669459644,0.763337893,0.652701778,4,4,4,20,20,20,60,4,Regulars and High Values,Class-4,Casino
1127,124.52,5/25/2002,1,124.52,0.756668947,0,0.180916553,4,1,1,20,5,5,30,2,All but little less freq,Class-2,Casino
1128,138.6068116,11/6/2004,69,9563.87,0.77872777,0.986833105,0.871409029,4,5,5,20,25,25,70,4.666666667,Regulars and High Values,Class-4,Casino
1129,97.29,7/7/2004,7,681.03,0.695280438,0.732045144,0.715116279,4,4,4,20,20,20,60,4,Regulars and High Values,Class-4,Casino
113,87.7375,11/10/2004,16,1403.8,0.666039672,0.895861833,0.877564979,4,5,5,20,25,25,70,4.666666667,Regulars and High Values,Class-4,Casino
1130,2209.877273,8/4/2004,11,24308.65,0.988543092,0.834131327,0.739056088,5,5,4,25,25,20,70,4.666666667,Regulars and High Values,Class-4,Casino
1131,1086.423733,11/15/2004,15,16296.356,0.97623119,0.885601915,0.88628591,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1132,21.16625,4/10/2004,16,338.66,0.27753078,0.895861833,0.657831737,2,5,4,10,25,20,55,3.666666667,Moderate to High,Class-3,Casino
1133,53.39166667,7/2/2004,12,640.7,0.509575923,0.850205198,0.710157319,3,5,4,15,25,20,60,4,Regulars and High Values,Class-4,Casino
1134,46.97638889,12/19/2004,72,3382.3,0.473153215,0.988030096,0.953659371,3,5,5,15,25,25,65,4.333333333,Regulars and High Values,Class-4,Casino
1135,96.24133333,7/24/2004,15,1443.62,0.69254446,0.885601915,0.728625171,4,5,4,20,25,20,65,4.333333333,Regulars and High Values,Class-4,Casino
1136,94.57733333,9/18/2004,15,1418.66,0.68878249,0.885601915,0.81002052,4,5,5,20,25,25,70,4.666666667,Regulars and High Values,Class-4,Casino
1137,52.67230769,7/19/2004,26,1369.48,0.506497948,0.944767442,0.722982216,3,5,4,15,25,20,60,4,Regulars and High Values,Class-4,Casino
1138,756.2801304,12/16/2004,23,17394.443,0.960499316,0.935704514,0.946477428,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1139,39.78052632,12/26/2004,19,755.83,0.428351573,0.91501368,0.96751026,3,5,5,15,25,25,65,4.333333333,Regulars and High Values,Class-4,Casino
114,30.82076923,8/15/2004,13,400.67,0.362859097,0.862346101,0.747948016,2,5,4,10,25,20,55,3.666666667,Moderate to High,Class-3,Casino
1140,32.34428571,10/11/2004,21,679.23,0.374316005,0.926470588,0.837038304,2,5,5,10,25,25,60,4,Regulars and High Values,Class-4,Casino
1141,-52.5,5/16/2002,2,-105,0.022058824,0.352941176,0.169801642,1,2,1,5,10,5,20,1.333333333,All Low,Class-1,Casino
1142,3611.432059,12/20/2004,68,245577.38,0.992305062,0.986491108,0.956737346,5,5,5,25,25,25,75,5,All Highs,Class-5,Hotel & Casino
1144,81.32,9/29/2002,1,81.32,0.64244186,0,0.395348837,4,1,2,20,5,10,35,2.333333333,All but little less freq,Class-2,Casino
1145,-449.8673913,12/12/2004,23,-10346.95,0.002735978,0.935704514,0.936559508,1,5,5,5,25,25,55,3.666666667,Moderate to High,Class-3,Casino
1146,-18.026,8/10/2002,2,-36.052,0.033686731,0.352941176,0.306942544,1,2,2,5,10,10,25,1.666666667,All Low,Class-1,Hotel & Casino
1148,14.38,9/14/2004,5,71.9,0.20878933,0.642612859,0.783173735,2,4,4,10,20,20,50,3.333333333,Moderate to High,Class-3,Casino
1149,260.2311538,10/29/2004,26,6766.01,0.884062927,0.944767442,0.861662107,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
115,44.34666667,7/1/2004,6,266.08,0.456908345,0.689466484,0.709644323,3,4,4,15,20,20,55,3.666666667,Moderate to High,Class-3,Casino
1150,90.15142857,1/13/2004,7,631.06,0.674589603,0.732045144,0.609781122,4,4,4,20,20,20,60,4,Regulars and High Values,Class-4,Casino
1151,988.2245455,12/18/2004,11,10870.47,0.973153215,0.834131327,0.950752394,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1152,28.64875,2/15/2004,8,229.19,0.342339261,0.763337893,0.624829001,2,4,4,10,20,20,50,3.333333333,Moderate to High,Class-3,Casino
1153,4677.21,3/9/2004,6,28063.26,0.994015048,0.689466484,0.638679891,5,4,4,25,20,20,65,4.333333333,Regulars and High Values,Class-4,Casino
1154,192.33,12/11/2004,3,576.99,0.840458276,0.497435021,0.934165527,5,3,5,25,15,25,65,4.333333333,Regulars and High Values,Class-4,Casino
1155,44.915,5/21/2002,2,89.83,0.45878933,0.352941176,0.176812585,3,2,1,15,10,5,30,2,All but little less freq,Class-2,Casino
1156,-1312.76,4/28/2002,1,-1312.76,0.000512996,0,0.147058824,1,1,1,5,5,5,15,1,All Low,Class-1,Casino
1157,51.32,11/14/2003,4,205.28,0.497093023,0.581395349,0.583105335,3,3,3,15,15,15,45,3,Moderate to High,Class-3,Casino
1158,1217.314615,12/22/2004,26,31650.18,0.978454172,0.944767442,0.959815321,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1159,70.68333333,6/19/2004,6,424.1,0.599008208,0.689466484,0.699384405,3,4,4,15,20,20,55,3.666666667,Moderate to High,Class-3,Casino
116,4010.904615,7/3/2004,26,104283.52,0.992989056,0.944767442,0.710670315,5,5,4,25,25,20,70,4.666666667,Regulars and High Values,Class-4,Casino
1160,252.1928571,5/19/2004,7,1765.35,0.87995896,0.732045144,0.682797538,5,4,4,25,20,20,65,4.333333333,Regulars and High Values,Class-4,Casino
1161,28.9885,12/13/2004,20,579.77,0.345930233,0.91997264,0.93997948,2,5,5,10,25,25,60,4,Regulars and High Values,Class-4,Casino
1162,216.1875,11/20/2004,12,2594.25,0.858242134,0.850205198,0.894322845,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1163,218.6065846,1/2/2005,13,2841.8856,0.859439124,0.862346101,0.993331053,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1164,155.8772,4/26/2002,1,155.8772,0.801983584,0,0.143980848,5,1,1,25,5,5,35,2.333333333,All but little less freq,Class-2,Hotel
