bad_flag,tenure,margin,amtfin,exist
0,32,0.210957054,12.97154049,0
0,42,0.257864574,12.50617724,1
0,35,0.146514936,13.30468493,1
0,30,0.05038961,13.72558585,1
0,46,0.185463659,13.38472764,1
0,32,0.152752798,13.13231371,1
0,20,0.145328365,11.91839057,1
0,35,0.093095489,12.88232796,0
0,23,0.153692382,12.5776362,1
0,48,0.213024994,12.77422334,1
0,44,0.10886989,12.7367009,1
0,22,0.101790345,13.09807068,1
0,40,0.135503987,12.61153775,1
0,47,0.177405138,13.07107008,1
0,25,0.117885749,12.8346813,1
0,46,0.100112486,14.6909793,0
0,46,0.155244755,13.31132948,1
0,60,0.152692512,13.91082074,1
0,48,0,14.33421506,1
0,48,0,14.33421506,1
0,48,0,14.33421506,1
0,45,0.094736842,14.5809784,1
0,36,0.165361382,13.13261069,0
0,30,0.110871835,12.69771545,1
0,45,0.1,13.0939639,1
0,47,0.196969697,13.18063229,1
0,47,0.051164491,13.60478953,0
0,47,0.145681972,14.15198279,1
0,33,0.249496037,13.81551056,1
0,46,0.200306169,13.45883561,1
0,44,0.101823299,13.08154138,1
0,35,0,13.7895002,1
0,33,0.142907344,13.30468493,1
0,35,0.085616752,13.30468493,0
0,29,0.200738668,12.53177279,1
0,44,0.108910891,13.71015004,1
0,47,0.099995686,13.85775554,1
0,47,0.053765979,14.20416855,0
0,46,0.175126904,13.38472764,0
0,47,0,12.32311763,1
0,47,0.100194043,13.71126054,1
0,18,0.437057386,12.20607265,1
0,34,0.405013902,12.46843691,1
0,35,0.250844095,13.38626492,1
0,47,0.151128557,13.67048479,1
0,41,0.097356544,14.15198279,1
0,48,0.093837209,12.87300418,0
0,29,0.095651112,12.82166361,1
0,45,0.079214906,13.79019275,1
0,35,0.174311927,13.01700286,1
0,32,0.53358209,12.4292162,0
0,47,0.107000834,12.67607627,0
0,47,0.150058541,13.8063689,1
0,35,0.114056382,13.86430072,1
0,47,0,13.94166556,1
0,35,0.153716672,14.12666499,1
0,41,0.200621531,12.96453929,0
0,45,0.204128102,13.56274508,1
0,47,0.15,13.89985171,1
0,47,0.056233988,13.91549163,1
0,47,0.172413793,13.30468493,0
0,48,0.05247691,13.93639988,1
0,40,0.15590377,13.17115354,1
0,45,0.100237857,13.33747476,1
0,35,0.441809319,12.89921983,1
0,48,0.098933738,13.19932442,1
0,48,0.098858554,13.19932442,1
0,47,0.193080246,13.14246008,0
0,61,0,14.03223354,0
0,46,0.050403226,13.75576055,1
0,35,0.116719243,14.15198279,0
1,40,0.11334155,13.12236338,1
1,48,0.050155804,13.15869531,1
0,48,0.030024178,13.97954084,1
0,47,0.101123596,13.99783211,0
1,47,0.152233012,14.10818017,1
0,48,0.073769962,14.57372471,1
0,45,0.150093809,14.63308532,1
0,47,0.291239397,12.30138283,1
0,47,0.192589928,13.23774353,1
0,47,0.2,13.38902608,1
0,47,0.143835616,12.63785506,1
0,47,0.096913354,14.10080228,0
0,36,0.050081877,13.14764118,1
0,44,0.15,12.63688056,0
0,46,0.069239501,12.92391244,1
0,59,0.02632876,13.93772819,0
0,34,0.2201064,12.94800999,0
0,35,0.161538462,11.89920775,1
0,45,0.158302568,13.38472764,1
0,36,0.350034967,13.0689626,1
0,47,0.157303371,13.01700286,1
0,35,0.175504571,13.81551056,1
0,48,0.10260989,12.69664454,1
0,33,0.200481197,12.6854076,1
0,47,0.101448681,13.08569939,1
0,47,0.15,13.05333479,0
0,44,0.053232029,12.89921983,1
0,47,0.166230096,13.30468493,0
0,47,0.166666667,14.73180129,0
0,11,0.150141643,12.61153775,1
0,32,0.309027691,13.12236338,1
0,47,0.096179724,13.85254908,0
